country,year,n_teams,n_events,n_academic_teams,top10_appearances,top50_appearances,top100_appearances,median_place,mean_place,total_appearances
AQ,2026,1,2,1,0,0,0,445.0,445,2
AR,2011,1,1,1,0,1,1,21,21,1
AR,2012,1,4,0,0,0,2,142.5,144.2,4
AR,2013,2,8,1,1,2,5,83.5,129.9,8
AR,2014,2,2,1,0,0,1,196.5,196.5,2
AR,2015,3,6,1,0,2,2,149.0,204,8
AR,2016,6,11,3,0,1,6,117,193.8,13
AR,2017,3,18,1,0,6,9,143,165.6,21
AR,2018,5,27,1,1,4,11,147,290.2,31
AR,2019,5,21,1,3,6,9,143.0,223.2,24
AR,2020,5,25,1,3,11,16,82.5,272.4,28
AR,2021,3,11,1,4,7,8,99,329.6,15
AR,2022,3,8,1,5,7,7,15.5,213,10
AR,2023,3,6,0,0,1,2,217.5,452.3,6
AR,2024,3,12,1,1,6,6,198.5,399.9,14
AR,2025,5,22,1,0,2,4,256.5,300.4,22
AR,2026,2,2,1,0,0,0,207.5,207.5,2
AS,2025,1,1,1,0,0,0,642,642,1
AT,2011,2,1,1,1,2,2,19.0,19,2
AT,2012,4,6,2,1,5,7,41.0,50.1,8
AT,2013,4,7,2,2,6,8,47.5,80.4,12
AT,2014,5,13,3,1,9,15,69.5,132.5,24
AT,2015,5,19,3,3,13,21,74.0,96.9,34
AT,2016,9,36,6,7,36,52,61,135.1,83
AT,2017,11,50,6,14,43,63,78,152.6,109
AT,2018,14,50,8,8,47,66,72.0,157.4,110
AT,2019,12,48,8,15,52,75,57,136.3,111
AT,2020,11,82,8,17,68,101,61.5,129.0,158
AT,2021,11,68,7,13,45,68,73,158.7,113
AT,2022,9,60,6,6,28,54,73.5,197.7,88
AT,2023,9,85,7,12,66,95,53,121.0,135
AT,2024,9,60,7,8,38,53,57.0,185.7,86
AT,2025,8,65,7,11,37,58,61.5,187.2,86
AT,2026,6,19,6,1,4,10,139.5,169.9,22
AU,2012,1,1,1,0,0,1,89,89,1
AU,2013,6,11,2,4,10,10,29,123.5,15
AU,2014,8,24,3,8,13,25,105,170.9,51
AU,2015,16,32,3,7,19,33,123,173.6,75
AU,2016,21,48,4,5,34,59,87.5,190.0,110
AU,2017,34,63,11,8,35,63,142,253.2,147
AU,2018,30,59,6,2,16,41,190,277.2,129
AU,2019,22,39,7,0,2,15,251,326.2,73
AU,2020,25,52,6,1,11,23,226,361.6,91
AU,2021,25,90,9,4,48,84,95.0,206.4,158
AU,2022,19,50,8,0,15,29,148.5,302.7,72
AU,2023,17,35,5,1,1,10,263,414.8,47
AU,2024,15,32,4,1,2,4,354,467.6,43
AU,2025,16,51,2,4,11,15,237,364.9,57
AU,2026,7,11,2,0,1,3,267,277.2,11
AX,2018,1,1,0,0,0,0,620,620,1
AX,2024,1,1,0,0,0,0,597,597,1
AX,2025,1,3,0,0,0,0,378,479,3
AZ,2018,1,1,0,0,0,0,995,995,1
AZ,2021,1,3,0,0,1,2,60,65.7,3
AZ,2022,1,12,0,0,2,4,147.5,383.7,12
AZ,2023,1,3,0,0,0,0,254,308,3
AZ,2024,1,1,0,0,0,0,983,983,1
BD,2014,1,1,0,0,0,0,258,258,1
BD,2015,1,1,0,0,0,0,170,170,1
BD,2016,1,4,0,0,1,1,289.0,292,4
BD,2017,2,22,0,4,11,17,53.5,137.9,24
BD,2018,2,31,0,7,18,21,50.5,174.4,36
BD,2019,1,19,0,2,9,14,58,72.4,19
BD,2020,3,3,0,0,1,1,208,161.7,3
BD,2021,2,4,0,0,0,0,303.5,976.5,4
BD,2022,2,5,0,0,3,3,41,154.8,5
BD,2023,3,48,0,1,13,27,98,162.2,53
BD,2024,2,18,0,1,7,13,68.5,83.2,18
BD,2025,3,33,1,0,9,15,118,181.8,35
BD,2026,3,19,1,0,0,2,230,249.9,21
BE,2011,1,1,0,0,1,1,45,45,1
BE,2012,1,2,0,0,0,0,192.0,192,2
BE,2013,4,7,0,2,3,7,65.5,70.6,8
BE,2014,7,19,3,4,12,18,126,181.8,39
BE,2015,8,32,3,6,22,37,81,99.2,59
BE,2016,7,27,3,0,11,23,113.0,175.5,50
BE,2017,16,36,4,0,8,25,130,226.2,69
BE,2018,17,37,4,0,13,25,122.5,188.8,70
BE,2019,9,19,2,0,4,7,166,213.7,21
BE,2020,11,16,2,1,3,5,258.5,498.1,20
BE,2021,8,28,2,1,11,20,82,250.1,37
BE,2022,6,18,1,1,8,10,75.0,303.7,18
BE,2023,5,26,2,2,10,15,80,287.3,27
BE,2024,5,26,0,0,6,10,147.5,274.2,26
BE,2025,2,11,1,0,4,6,77,197.9,11
BE,2026,2,2,0,0,0,1,127.0,127,2
BG,2016,2,3,2,0,0,1,382,401,3
BG,2017,2,11,1,0,1,1,370.5,342.4,12
BG,2018,3,9,2,0,2,2,124,180.6,9
BG,2019,2,21,2,0,9,15,57.5,151.1,22
BG,2020,2,5,1,1,1,1,283,308.6,5
BG,2021,2,5,1,0,1,3,92,168,5
BG,2022,2,4,1,0,0,0,760.0,775.8,4
BG,2023,1,2,0,0,0,0,831.0,831,2
BG,2024,1,6,0,0,1,1,176.0,405.2,6
BG,2025,1,1,0,0,0,0,447,447,1
BJ,2012,1,1,0,0,0,0,269,269,1
BJ,2016,1,1,0,0,0,0,668,668,1
BJ,2019,1,1,0,0,0,0,265,265,1
BJ,2020,1,1,0,0,0,0,362,362,1
BJ,2023,1,1,0,0,0,0,209,209,1
BN,2017,1,1,0,0,0,0,247,247,1
BN,2018,1,4,0,0,0,1,282.5,273,4
BN,2019,2,2,0,0,0,0,578.0,578,2
BN,2020,1,1,0,0,0,0,1573,1573,1
BN,2022,1,1,0,0,0,0,435,435,1
BN,2023,1,4,0,0,0,2,163.5,169.8,4
BN,2024,1,4,0,0,0,0,255.0,382,4
BN,2025,2,3,0,0,0,0,253,302.7,3
