events_per_team,n_teams,ccdf_count,ccdf_frac
1,226381,305380,1.0
2,32686,78999,0.25869081144803197
3,13215,46313,0.15165695199423668
4,7207,33098,0.10838299823171131
5,4816,25891,0.08478289344423341
6,3200,21075,0.0690123780208265
7,2409,17875,0.05853363023118737
8,1890,15466,0.05064509791079966
9,1458,13576,0.044456087497544046
10,1215,12118,0.03968170803588971
11,1044,10903,0.0357030584845111
12,863,9859,0.03228436701814133
13,740,8996,0.029458379723623026
14,649,8256,0.027035169297268978
15,521,7607,0.02490994826118279
16,502,7086,0.023203877136682167
17,418,6584,0.021560023577182525
18,387,6166,0.020191237147160913
19,348,5779,0.01892396358635143
20,282,5431,0.017784399764228173
21,281,5149,0.016860960115266225
22,254,4868,0.01594079507498854
23,220,4614,0.015109044469185932
24,205,4394,0.014388630558648242
25,201,4189,0.013717335778374484
26,169,3988,0.013059139432837775
27,175,3819,0.01250573056519746
28,183,3644,0.011932674045451569
29,147,3461,0.01133342065623158
30,124,3314,0.010852053179645032
31,138,3190,0.010446001702796515
32,110,3052,0.009994105704368327
33,104,2942,0.009633898749099482
34,106,2838,0.009293339445936211
35,91,2732,0.008946230925404414
36,103,2641,0.00864824153513655
37,85,2538,0.008310956840657541
38,78,2453,0.008032615102495252
39,95,2375,0.007777195625122798
40,70,2280,0.007466107800117886
41,74,2210,0.0072368851922195295
42,80,2136,0.006994564149584125
43,69,2056,0.006732595454843146
44,68,1987,0.006506647455629053
45,64,1919,0.006283974065099221
46,51,1855,0.0060743991093064375
47,47,1804,0.005907394066409064
48,47,1757,0.005753487458248739
49,42,1710,0.005599580850088414
50,53,1668,0.005462047285349401
51,46,1615,0.005288493025083502
52,40,1569,0.00513786102560744
53,40,1529,0.0050068766782369505
54,45,1489,0.0048758923308664616
55,43,1444,0.004728534940074661
56,35,1401,0.004587726766651385
57,46,1366,0.004473115462702207
58,29,1320,0.004322483463226144
59,28,1291,0.00422751981138254
60,38,1263,0.004135830768223197
61,28,1225,0.004011395638221233
62,30,1197,0.00391970659506189
63,32,1167,0.003821468334534023
64,17,1135,0.003716680856637632
65,21,1118,0.003661012509005174
66,25,1097,0.003592245726635667
67,28,1072,0.003510380509529111
68,20,1044,0.003418691466369769
69,21,1024,0.003353199292684524
70,30,1003,0.0032844325103150176
71,18,973,0.0031861942497871504
72,23,955,0.0031272512934704304
73,19,932,0.003051935293732399
74,18,913,0.0029897177287314166
75,14,895,0.0029307747724146966
76,12,881,0.002884930250835025
77,16,869,0.0028456349466238783
78,15,853,0.0027932412076756828
79,17,838,0.002744122077411749
80,18,821,0.002688453729779291
81,18,803,0.002629510773462571
82,15,785,0.002570567817145851
83,13,770,0.0025214486868819176
84,15,757,0.0024788787739865085
85,17,742,0.0024297596437225753
86,19,725,0.0023740912960901173
87,11,706,0.002311873731089135
88,13,695,0.00227585303556225
89,9,682,0.0022332831226668415
90,9,673,0.0022038116445084813
91,10,664,0.002174340166350121
92,4,654,0.002141594079507499
93,12,650,0.00212849564477045
94,9,638,0.0020892003405593032
95,11,629,0.002059728862400943
96,9,618,0.0020237081668740583
97,14,609,0.0019942366887156985
98,7,595,0.0019483921671360272
99,8,588,0.0019254699063461916
100,8,580,0.0018992730368720939
101,9,572,0.0018730761673979959
102,15,563,0.0018436046892396358
103,7,548,0.0017944855589757025
104,6,541,0.0017715632981858667
105,9,535,0.0017519156460802934
106,9,526,0.0017224441679219334
107,6,517,0.0016929726897635734
108,15,511,0.0016733250376579998
