team_id,team_name,country,academic
1,MiT,RU,0
2,Smoked Chicken,RU,0
3,Leet More,RU,0
279,Hates Irony,US,0
280,sutegoma2,JP,0
281,lollersk8ers,,0
282,European Nopsled Team,DK,0
283,Routards,,0
284,Plaid Parliament of Pwning,US,1
285,Shellphish,US,1
286,VelociROPtors,,0
287,six men came to kill me one time,,0
288,int3pids,ES,0
291,WOWHACKER,,0
292,Robot Mafia,,0
293,(*)(*),,0
294,PlayTronics,,0
295,TwoSixNine,US,0
296,III xor ICST,,0
297,CHROOT,,0
298,CLGT,VN,0
299,nocfed,,0
300,Tower of Hanoi,IT,1
301,Song of Freedom with Guardian,,0
302,gn00bz,,0
303,Neg9,US,0
304,Sur3x5F,,0
307,bell,,0
308,disekt,US,0
310,Big-Daddy,FR,0
312,SSH,RU,0
314,CISSP Groupies,CA,0
315,WCSC,US,1
319,shell-storm,FR,0
320,\xBE\xEF Supreme,,0
321,NULL,,0
322,Eindbazen,NL,0
324,0ldEur0pe,DE,0
325,defragmented.brains,,0
326,VXRL,HK,0
328,w33t34m,,0
331,Orange,,0
333,CSG,US,1
337,Senkihaziak,,0
339,Rdot.org,RU,0
341,PainSec,,0
342,Adversarial Science Lab,,0
347,C.o.P,FR,0
349,DigRev,,0
350,w3b0n3s,ES,0
351,NISRA,,0
355,Hacking Alpacas,US,0
358,paid2penetrate,US,0
359,vand,US,0
360,infinity,,0
364,crazymind,,0
366,NarwhalRevEng,,0
367,fixme,CH,0
369,CyKOR,KR,1
370,The On-Net Gang,,0
371,Squidz-R-Us,,0
373,kknock,,0
374,Lobotomy,RU,0
375,GreenTeam,,0
376,LowNoiseHG,,0
378,CERT-IS,,0
384,0xn00b,,0
386,WildRide,RU,0
389,RICTeam,,0
392,Esoterica,,0
393,One-Eyed Jack,,0
394,weareplaying,,0
395,Sapheads,,0
397,Kernel Sanders,US,1
400,PlanB,RU,0
404,True,,0
405,Honeypot,RU,0
407,Taiwan,,0
411,BullShit,,0
414,mylittlepwnies,,0
417,My Little Pwnies,,0
418,Pi Backwards,US,0
420,None,,0
421,min,,0
425,Lazerwolf,,0
426,catsecurity,,0
430,XLII,BR,0
433,us3ful id10ts,,0
439,NYUSEC,US,1
444,catsec,,0
446,Delogrand,US,1
455,Syclover,CN,1
456,qwerty,,0
459,diabl0,,0
461,East Infection,,0
469,ufologists,RU,1
472,pentsec,,0
474,asdasd,,0
478,GoBack,DZ,0
483,727,,0
486,CodeBlue,,0
496,Koibasta,RU,1
498,adam,,0
500,sharp,,0
502,QWER,,0
503,blah,,0
506,guest,,0
508,randomteam,,0
513,WinX,,0
514,Tech,,0
515,N/A,,0
518,dalbo,RU,0
520,anesec,IT,0
524,slacker,,0
525,n00bie,,0
526,nuckphuts,,0
530,KchoTeam,,0
531,FAST,,0
532,Pereira Security Team,CO,0
534,Bulldogs,,0
538,the5thoctet,,0
544,dotgabi,,0
545,Zenk-Security,FR,0
550,FAUST,DE,1
551,FluxFingers,DE,1
552,HackerDom,RU,1
553,alcapwn,DE,0
