team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
1019,6,2011,2021,11,3,3,4
1024,6,2011,2024,14,27,0,1
1040,77,2011,2025,15,5,2,13
1044,58,2011,2026,16,32,0,5
1058,11,2011,2026,16,20,0,1
1059,40,2011,2026,16,26,0,1
1073,5,2011,2024,14,114,0,0
1116,42,2011,2026,16,1,1,3
1157,13,2011,2018,8,1,6,11
1288,161,2011,2026,16,2,31,100
1294,13,2012,2014,3,5,2,11
1298,85,2012,2025,14,9,1,15
1301,245,2012,2026,15,1,22,59
1309,35,2012,2025,14,9,2,5
1313,87,2012,2026,15,2,3,9
1329,43,2011,2023,13,16,0,8
1332,18,2012,2026,15,3,4,9
1333,26,2012,2026,15,18,0,7
1337,62,2012,2026,15,5,3,10
1353,80,2011,2024,14,3,6,40
1358,29,2012,2023,12,21,0,3
1398,106,2011,2024,14,3,9,33
1404,6,2011,2013,3,12,0,4
1411,44,2012,2014,3,1,8,25
1413,28,2012,2017,6,5,2,14
1414,3,2012,2014,3,18,0,2
1418,11,2011,2016,6,21,0,5
1425,79,2012,2026,15,3,7,24
1427,14,2012,2019,8,15,0,2
1429,118,2012,2025,14,11,0,22
1434,162,2012,2025,14,2,5,43
1438,219,2011,2025,15,1,46,125
1443,21,2011,2019,9,22,0,4
1444,15,2011,2013,3,26,0,4
1445,76,2011,2020,10,4,2,16
1447,9,2011,2026,16,40,0,2
1480,4,2012,2014,3,42,0,1
1484,2,2012,2015,4,50,0,1
1494,1,2012,2012,1,66,0,0
1501,124,2012,2017,6,13,0,10
1510,22,2012,2026,15,8,1,2
1523,36,2012,2026,15,22,0,4
1553,147,2012,2026,15,22,0,5
1577,11,2012,2017,6,24,0,1
1598,4,2012,2014,3,195,0,0
1607,39,2012,2025,14,1,10,17
1611,14,2012,2025,14,189,0,0
1678,1,2011,2011,1,1,1,1
1679,150,2011,2026,16,2,14,58
1684,21,2012,2013,2,4,5,15
1686,44,2012,2025,14,8,1,12
1688,25,2011,2018,8,2,4,16
1707,2,2012,2016,5,36,0,1
1708,167,2011,2026,16,2,2,17
1737,10,2012,2020,9,68,0,0
1739,27,2012,2025,14,50,0,1
1752,60,2011,2024,14,2,12,37
1781,40,2011,2015,5,21,0,8
1787,68,2012,2018,7,1,5,23
1815,29,2012,2014,3,3,7,29
1816,74,2011,2025,15,1,11,40
1825,21,2012,2024,13,44,0,1
1828,31,2012,2021,10,11,0,4
1832,29,2012,2018,7,18,0,8
1833,110,2012,2017,6,2,10,39
1860,5,2012,2017,6,132,0,0
1862,3,2012,2016,5,137,0,0
1909,13,2012,2015,4,42,0,1
1910,5,2012,2013,2,128,0,0
1923,38,2012,2024,13,1,1,7
1937,210,2012,2025,14,1,46,122
1941,96,2011,2026,16,1,46,76
1946,47,2012,2021,10,1,9,27
1948,21,2012,2023,12,8,1,4
1957,70,2012,2026,15,4,3,24
1958,64,2012,2026,15,28,0,3
1964,262,2011,2026,16,1,36,151
1972,3,2012,2019,8,114,0,0
1978,7,2012,2017,6,120,0,0
1980,9,2012,2023,12,19,0,1
2003,103,2011,2026,16,1,7,34
2010,84,2011,2022,12,4,2,29
2011,8,2011,2017,7,21,0,5
2016,14,2011,2025,15,14,0,5
2353,48,2012,2025,14,12,0,8
2380,39,2012,2025,14,41,0,2
2480,92,2012,2025,14,6,2,17
2487,15,2012,2018,7,16,0,2
2490,22,2013,2025,13,86,0,0
2494,3,2012,2020,9,1,3,3
2496,57,2012,2026,15,27,0,1
2499,3,2012,2013,2,137,0,0
2500,313,2012,2026,15,1,26,99
2502,86,2012,2026,15,8,2,18
2503,9,2012,2026,15,103,0,0
